DATE,NUMBER_ARTICLES,TPUD_ARTICLES,TPUD_index,TPUD_index_MA7,TPUD_index_MA30
2015-05-19 00:00:00,605,5,82.6446280991735,73.2493016476296,43.2439251617206
2015-05-20 00:00:00,804,4,49.7512437810945,69.3393618131991,43.80760920456061
2015-05-21 00:00:00,966,0,0,62.2951239997305,42.4129090650906
2015-05-22 00:00:00,838,3,35.799522673031,54.3181944126836,42.3290872793512
2015-05-23 00:00:00,586,2,34.1296928327645,47.4263901174348,42.7892369320423
2015-05-24 00:00:00,856,2,23.3644859813084,50.7641738290503,43.1914052971443
2015-05-25 00:00:00,398,3,75.37688442211049,43.00949396992601,45.136108940289
2015-05-26 00:00:00,636,1,15.7232704402515,33.4493000186515,45.2827170112117
2015-05-27 00:00:00,697,3,43.0416068866571,32.4907804623032,45.1019283554681
2015-05-28 00:00:00,981,2,20.3873598369011,35.4032604390034,43.8794623186477
2015-05-29 00:00:00,863,4,46.3499420625724,36.91046320893791,44.07310903604881
2015-05-30 00:00:00,588,5,85.0340136054421,44.1825090336061,45.2799719895635
2015-05-31 00:00:00,857,2,23.3372228704784,44.1786143034876,45.2717158965669
2015-06-01 00:00:00,619,3,48.465266558966,40.3340974658955,46.3452193618116
2015-06-02 00:00:00,639,4,62.5978090766823,47.0304601282427,47.3292771652864
2015-06-03 00:00:00,785,6,76.4331210191082,51.8006764328786,49.87704786592339
2015-06-04 00:00:00,995,4,40.2010050251256,54.6311971740536,49.7986416504489
2015-06-05 00:00:00,897,1,11.1482720178372,49.6023871676628,48.4717369172855
2015-06-06 00:00:00,619,1,16.1550888529886,39.7625407744552,48.6728579627225
2015-06-07 00:00:00,884,2,22.6244343891402,39.6607138485497,48.253296855506
2015-06-08 00:00:00,608,0,0,32.737104340126,46.526181138753
2015-06-09 00:00:00,693,3,43.2900432900432,29.9788520848918,47.2141806942497
2015-06-10 00:00:00,760,2,26.3157894736842,22.8192332926884,46.987620917324
2015-06-11 00:00:00,993,4,40.281973816717,22.8308002629157,45.0851053482104
2015-06-12 00:00:00,862,6,69.6055684454756,31.1818426097212,44.8345968756559
2015-06-13 00:00:00,591,3,50.7614213197969,36.1256043906938,44.8829887631732
2015-06-14 00:00:00,917,3,32.7153762268266,37.5671675103633,42.9189003113221
2015-06-15 00:00:00,605,6,99.1735537190082,51.7348180416502,43.4789413386388
2015-06-16 00:00:00,699,6,85.8369098712446,57.8129418389647,46.34017166768029
2015-06-17 00:00:00,760,6,78.9473684210526,65.3317388314459,44.649762500516
2015-06-18 00:00:00,976,6,61.4754098360655,68.3593725484957,43.9441218917458
