date,equity_pc,source
2022-05-19,0.80,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-19_daily_options
2022-05-20,0.80,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-20_daily_options
2022-05-24,0.77,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-24_daily_options
2022-05-25,0.63,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-25_daily_options
2022-05-26,0.63,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-26_daily_options
2022-05-27,0.49,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-27_daily_options
2022-05-31,0.64,cdn.cboe.com/data/us/options/market_statistics/daily/2022-05-31_daily_options
2022-06-02,0.62,cdn.cboe.com/data/us/options/market_statistics/daily/2022-06-02_daily_options
2022-06-03,0.77,cdn.cboe.com/data/us/options/market_statistics/daily/2022-06-03_daily_options
2022-06-08,0.57,cdn.cboe.com/data/us/options/market_statistics/daily/2022-06-08_daily_options
2022-06-09,0.69,cdn.cboe.com/data/us/options/market_statistics/daily/2022-06-09_daily_options
2022-06-10,0.89,cdn.cboe.com/data/us/options/market_statistics/daily/2022-06-10_daily_options
2022-06-13,0.84,cdn.cboe.com/data/us/options/market_statistics/daily/2022-06-13_daily_options
2022-06-14,0.83,cdn.cboe.com/data/us/options/market_statistics/daily/2022-06-14_daily_options
2022-06-15,0.70,cdn.cboe.com/data/us/options/market_statistics/daily/2022-06-15_daily_options
2022-06-16,0.86,cdn.cboe.com/data/us/options/market_statistics/daily/2022-06-16_daily_options
2022-06-21,0.48,cdn.cboe.com/data/us/options/market_statistics/daily/2022-06-21_daily_options
2022-06-24,0.51,cdn.cboe.com/data/us/options/market_statistics/daily/2022-06-24_daily_options
2022-06-28,0.66,cdn.cboe.com/data/us/options/market_statistics/daily/2022-06-28_daily_options
2022-07-07,0.57,cdn.cboe.com/data/us/options/market_statistics/daily/2022-07-07_daily_options
2022-07-11,0.64,cdn.cboe.com/data/us/options/market_statistics/daily/2022-07-11_daily_options
2022-07-19,0.59,cdn.cboe.com/data/us/options/market_statistics/daily/2022-07-19_daily_options
2022-07-20,0.62,cdn.cboe.com/data/us/options/market_statistics/daily/2022-07-20_daily_options
2022-07-21,0.63,cdn.cboe.com/data/us/options/market_statistics/daily/2022-07-21_daily_options
2022-07-27,0.66,cdn.cboe.com/data/us/options/market_statistics/daily/2022-07-27_daily_options
2022-07-28,0.67,cdn.cboe.com/data/us/options/market_statistics/daily/2022-07-28_daily_options
2022-07-29,0.61,cdn.cboe.com/data/us/options/market_statistics/daily/2022-07-29_daily_options
2022-08-03,0.56,cdn.cboe.com/data/us/options/market_statistics/daily/2022-08-03_daily_options
2022-08-10,0.58,cdn.cboe.com/data/us/options/market_statistics/daily/2022-08-10_daily_options
2022-08-12,0.50,cdn.cboe.com/data/us/options/market_statistics/daily/2022-08-12_daily_options
2022-08-22,0.65,cdn.cboe.com/data/us/options/market_statistics/daily/2022-08-22_daily_options
2022-08-26,0.76,cdn.cboe.com/data/us/options/market_statistics/daily/2022-08-26_daily_options
2022-08-29,0.74,cdn.cboe.com/data/us/options/market_statistics/daily/2022-08-29_daily_options
2022-08-30,0.80,cdn.cboe.com/data/us/options/market_statistics/daily/2022-08-30_daily_options
2022-09-07,0.75,cdn.cboe.com/data/us/options/market_statistics/daily/2022-09-07_daily_options
2022-09-09,0.52,cdn.cboe.com/data/us/options/market_statistics/daily/2022-09-09_daily_options
2022-09-13,0.73,cdn.cboe.com/data/us/options/market_statistics/daily/2022-09-13_daily_options
2022-09-14,0.75,cdn.cboe.com/data/us/options/market_statistics/daily/2022-09-14_daily_options
2022-09-15,0.73,cdn.cboe.com/data/us/options/market_statistics/daily/2022-09-15_daily_options
2022-09-29,0.91,cdn.cboe.com/data/us/options/market_statistics/daily/2022-09-29_daily_options
2022-10-03,0.71,cdn.cboe.com/data/us/options/market_statistics/daily/2022-10-03_daily_options
2022-10-04,0.64,cdn.cboe.com/data/us/options/market_statistics/daily/2022-10-04_daily_options
